election_year,tweet_id,created_at,content,lang,username,display_name,user_location,followers,following,statuses,verified,retweet_count,like_count,reply_count,place_name,country,source
2021,1439688928341028872,2021-09-19T20:32:43.000Z,"When a communist dictatorship country like China
is pushing for a Liberal Canadian government,
doesn't that raise a few red flags?
If you value your freedom, vote PPC",en,tuckuuu,Tuck,,31,97,1465,False,0,0,0,,,x_api
2021,1439688747637886976,2021-09-19T20:32:00.000Z,"Trudeau, O'Toole make their final pitches to voters in key battlegrounds on the eve of Canada's snap elections https://t.co/T33gTGka5O
#Elexn44 https://t.co/GGV4rEptpE",en,AFP,AFP News Agency,Around The World,2418085,641,403475,False,12,16,7,,,x_api
2021,1439688717153751048,2021-09-19T20:31:52.000Z,@BezirganMocha @JustinTrudeau The Canadian deficit is now estimated at $1.3 TRILLION.  It doubled under the Trudeau government.,en,mjLEBL4NC,Marie-Joelle LeBlanc,,26,93,433,False,0,0,0,,,x_api
2021,1439688678725595137,2021-09-19T20:31:43.000Z,“The @liberal_party is the only party that can strengthen our gun laws” says #Polytechnique graduate Heidi Rathjen. Her endorsement was echoed by #Dawson College shooting survivors who have long fought for stricter #GunControl in Canada #Elxn44 https://t.co/PkRkxJTqbA @danspector,en,Polysesouvient,PolySeSouvient / PolyRemembers,Canada,7211,6725,11073,False,13,31,16,,,x_api
2021,1439688605031612420,2021-09-19T20:31:26.000Z,"En el último día de campaña electoral, el primer ministro de #Canadá, @JustinTrudeau dijo que los canadienses necesitan un gobierno que siga la ciencia. ""No necesitamos un gobierno conservador que no pueda demostrar el liderazgo de las #vacunas"", expresó.
https://t.co/AszG5U0M3P",es,lajornadaonline,La Jornada,México,2707330,340,490289,False,10,23,2,,,x_api
2021,1439688595686658048,2021-09-19T20:31:23.000Z,"O'Toole slams Trudeau for running ""the most corrupt government in Canadian history"", says tougher anti-corruption legislation is necessary. https://t.co/UHweL4wiWA",en,TPostMillennial,The Post Millennial,Canada,438125,2562,151268,True,11,36,7,,,x_api
2021,1439688587809804291,2021-09-19T20:31:22.000Z,"If you are voting for #ClimateAction in the Federal election tomorrow read this article. 
Canada is facing extreme weather. And Trudeau’s love of fossil fuel will only make it worse | Tzeporah Berman https://t.co/Cr3zV5IxBR",en,Peter_Tabuns,Peter Tabuns @petertabuns.bsky.social,Toronto,9818,1882,13140,True,6,3,0,,,x_api
2021,1439688514858143745,2021-09-19T20:31:04.000Z,"Tell your friends and family in these ridings; Calgary Centre, Confederation, Skyview and Forest Lawn; Vote Liberal ❤️ #YYC",en,TheBlueGem3,Lucy 🇨🇦,Treaty 6,32893,5265,85476,False,143,426,11,,,x_api
2021,1439688494968885251,2021-09-19T20:30:59.000Z,"@JamesLizotte15 @inky_mark You’re vote is wasted because you voted AGAINST, instead of FOR. You’re the sycophant.

In a way, O’Toole is worse than Trudeau because O’Toole is destroying conservatism in Canada. He’s shifted the Overton window far to the left.

Congrats .. you voted for Trudeau-lite. Sad.",en,PapillonLvr,Yvönne 🍁,Big Sky Country,2874,4608,54529,False,0,0,1,,,x_api
2021,1439688346423336961,2021-09-19T20:30:24.000Z,"@paolohughes @GadSaad I think Justin Trudeau believes whatever Gerald Butts has conditioned him to believe. I think his biggest claim to fame is not even his but rather that he had a famous father. If it wasn't for PET being PM, Canada would never have heard of this underachiever.",en,Towanda_2_U,Anti-Boomer Boomer 🍎🍏🎗️,Anarcho-Tyranny Land,4186,4985,72655,False,0,0,0,,,x_api
2021,1439688324642394116,2021-09-19T20:30:19.000Z,Many Canadian progressives are hoping for some sort of NDP - Liberal alliance. https://t.co/KQF3dgqPEk,en,DoogerNorth,Character is destiny. 🇨🇦🇺🇸🇬🇧,,4215,2092,112206,False,0,0,0,,,x_api
