year,party,votes,national_share
2019,Marijuana Party,920,5.063045928430544e-05
2019,Marxist-Leninist Party of Canada,4124,0.0002269565370526909
2019,National Citizens Alliance of Canada,510,2.8066885038038884e-05
2019,New Democratic Party,2903722,0.15980084618906734
2019,No Affiliation,1745,9.603277331642716e-05
2019,Parti Rhinocéros Party,9538,0.0005249057833192449
2019,Parti pour l'Indépendance du Québec,3815,0.00020995130670611439
2019,People's Party of Canada,294092,0.01618479677373908
2019,Progressive Canadian Party,1534,8.442078754578754e-05
2019,Stop Climate Change,296,1.6289799943646096e-05
2019,United Party of Canada,602,3.312993096646943e-05
2019,Veterans Coalition Party of Canada,6300,0.0003467085798816568
