election_id,event_number,electoral_district_number_numéro_de_circonscription,ballot_sequence_number,candidate_candidat,candidate_first_name_prénom_du_candidat,candidate_middle_name_second_prénom_du_candidat,candidate_family_name_nom_de_famille_du_candidat,candidate_gender_code,candidate_occupation_english_anglais,profession_du_candidat_français_french,incumbent_indicator_indicateur_candidat_sortant,elected_candidate_indicator_indicateur_du_candidat_élu,candidate_residence_résidence_du_candidat,candidate_province_english_anglais,province_du_candidat_français_french,party_abbreviation_english_anglais,abréviation_de_parti_français_french
GE.41.2011,4100,59028,3,Bernadette Keenan,Bernadette,Bernadette,Keenan,,Civic Employee,,FALSE,FALSE,Surrey,British Columbia,Colombie-Britannique,Green,Vert
GE.41.2011,4100,59028,4,Kevin Pielak,Kevin,Kevin,Pielak,,Teacher,,FALSE,FALSE,Surrey,British Columbia,Colombie-Britannique,Christian Heritage,l'Héritage Chrétien
GE.41.2011,4100,59028,5,Shinder Purewal,Shinder,Shinder,Purewal,,University Faculty,,FALSE,FALSE,Surrey,British Columbia,Colombie-Britannique,Liberal,Libéral
GE.41.2011,4100,59028,6,Jasbir Sandhu,Jasbir,Jasbir,Sandhu,,College Instructor|Program Coordinator,,FALSE,TRUE,Surrey,British Columbia,Colombie-Britannique,NDP,NPD
GE.41.2011,4100,59028,7,Jamie Scott,Jamie,Jamie,Scott,,Delivery Driver,,FALSE,FALSE,Surrey,British Columbia,Colombie-Britannique,Independent,Indépendent
GE.41.2011,4100,59029,1,Adriane Carr,Adriane,Adriane,Carr,,Politician,,FALSE,FALSE,Vancouver,British Columbia,Colombie-Britannique,Green,Vert
GE.41.2011,4100,59029,2,Jennifer Clarke,Jennifer,Jennifer,Clarke,,Businesswoman,,FALSE,FALSE,Vancouver,British Columbia,Colombie-Britannique,Conservative,Conservateur
GE.41.2011,4100,59029,3,John Clarke,John,John,Clarke,,Warehouseman,,FALSE,FALSE,Burnaby,British Columbia,Colombie-Britannique,Libertarian,Libertarien
GE.41.2011,4100,59029,4,Hedy Fry,Hedy,Hedy,Fry,,Physician|Parliamentarian,,TRUE,TRUE,Vancouver,British Columbia,Colombie-Britannique,Liberal,Libéral
GE.41.2011,4100,59029,5,Michael Hill,Michael,Michael,Hill,,Retired Postal Worker,,FALSE,FALSE,Vancouver,British Columbia,Colombie-Britannique,MarxLen,MarxLen
GE.41.2011,4100,59029,6,Michael Huenefeld,Michael,Michael,Huenefeld,,Financial Consultant,,FALSE,FALSE,Vancouver,British Columbia,Colombie-Britannique,ProgCan,ProgCan
GE.41.2011,4100,59029,7,Travis McCrea,Travis,Travis,McCrea,,Salesman,,FALSE,FALSE,Vancouver,British Columbia,Colombie-Britannique,Pirate,Pirate
GE.41.2011,4100,59029,8,Karen Shillington,Karen,Karen,Shillington,,Telephone Interviewer,,FALSE,FALSE,Vancouver,British Columbia,Colombie-Britannique,NDP,NPD
GE.41.2011,4100,59030,1,Roma Ahi,Roma,Roma,Ahi,,"Production Manager, Advertising",,FALSE,FALSE,Vancouver,British Columbia,Colombie-Britannique,Liberal,Libéral
GE.41.2011,4100,59030,2,Libby Davies,Libby,Libby,Davies,,Parliamentarian,,TRUE,TRUE,Vancouver,British Columbia,Colombie-Britannique,NDP,NPD
GE.41.2011,4100,59030,3,Anne Jamieson,Anne,Anne,Jamieson,,Registered Nurse,,FALSE,FALSE,Vancouver,British Columbia,Colombie-Britannique,MarxLen,MarxLen
GE.41.2011,4100,59030,4,Douglas Roy,Douglas,Douglas,Roy,,University Professor,,FALSE,FALSE,Victoria,British Columbia,Colombie-Britannique,Green,Vert
GE.41.2011,4100,59030,5,Irene C. Yatco,Irene,Irene,Yatco,,Publisher,,FALSE,FALSE,Vancouver,British Columbia,Colombie-Britannique,Conservative,Conservateur
GE.41.2011,4100,59031,1,Jason Draper,Jason,Jason,Draper,,Small Business Owner,,FALSE,FALSE,Courtenay,British Columbia,Colombie-Britannique,Independent,Indépendent
GE.41.2011,4100,59031,2,John Duncan,John,John,Duncan,,Parliamentarian,,TRUE,TRUE,Courtenay,British Columbia,Colombie-Britannique,Conservative,Conservateur
GE.41.2011,4100,59031,3,Mike Holland,Mike,Mike,Holland,,Lawyer,,FALSE,FALSE,Courtenay,British Columbia,Colombie-Britannique,Liberal,Libéral
GE.41.2011,4100,59031,4,Ronna-Rae Leonard,Ronna-Rae,Ronna-Rae,Leonard,,Environmental Consultant,,FALSE,FALSE,Courtenay,British Columbia,Colombie-Britannique,NDP,NPD
GE.41.2011,4100,59031,5,Frank Martin,Frank,Frank,Martin,,Carver,,FALSE,FALSE,Harrison Hot Springs,British Columbia,Colombie-Britannique,MarxLen,MarxLen
GE.41.2011,4100,59031,6,Sue Moen,Sue,Sue,Moen,,Consultant,,FALSE,FALSE,Black Creek,British Columbia,Colombie-Britannique,Green,Vert
GE.41.2011,4100,59032,1,Louise Boutin,Louise,Louise,Boutin,,Real Estate Agent,,FALSE,FALSE,Vancouver,British Columbia,Colombie-Britannique,Green,Vert
GE.41.2011,4100,59032,2,Kimball Cariou,Kimball,Kimball,Cariou,,Editor,,FALSE,FALSE,Vancouver,British Columbia,Colombie-Britannique,Communist,Communiste
