year,Bloc Québécois,Conservative Party of Canada,Green Party of Canada,Liberal Party of Canada,New Democratic Party,People's Party of Canada
2000,0.10715129284052534,,0.008119757597213763,0.4084712803686921,0.08507445262877171,
2004,0.12385889494660479,0.2963204057118247,0.04292368531206952,0.36729299324083936,0.1568337439333352,
2006,0.10482448086033226,0.362692402774378,0.04481749841518202,0.30231267680936674,0.17477014318331874,
2008,0.0997514582240337,0.37653305618631494,0.06777454635560008,0.2626216415525071,0.18181542187841318,
2011,0.06054239410811479,0.39631064426873713,0.03885464392100505,0.18901655666470615,0.3064667977000784,
2015,0.046678537572873394,0.3191111168209498,0.03427417200201825,0.3946763851658088,0.19721878810796234,
2019,0.07633257167511975,0.343364052814173,0.06546777041067907,0.33122930755142294,0.15980084618906734,0.01618479677373908
2025,0.0363610635603111,0.353833429897343,0.07118280666242605,0.28323894491072643,0.25142601862703273,0.01618479677373908
