redistribution_boundaries,canadian_province,province_canadienne,electoral_district_number_numéro_de_circonscription,electoral_district_name_english_anglais,electoral_district_name_english_anglais2,nom_de_circonscription_français_french,nom_de_circonscription_français_french2
1999,Quebec,Québec,ED24-012,Brossard--La Prairie,Brossard—La Prairie,Brossard--La Prairie,Brossard—La Prairie
1999,Quebec,Québec,ED24-013,Chambly,Chambly,Chambly,Chambly
1999,Quebec,Québec,ED24-014,Champlain,Champlain,Champlain,Champlain
1999,Quebec,Québec,ED24-015,Charlesbourg--Jacques-Cartier,Charlesbourg—Jacques-Cartier,Charlesbourg--Jacques-Cartier,Charlesbourg—Jacques-Cartier
1999,Quebec,Québec,ED24-016,Charlevoix,Charlevoix,Charlevoix,Charlevoix
1999,Quebec,Québec,ED24-017,Châteauguay,Châteauguay,Châteauguay,Châteauguay
1999,Quebec,Québec,ED24-018,Chicoutimi--Le Fjord,Chicoutimi—Le Fjord,Chicoutimi--Le Fjord,Chicoutimi—Le Fjord
1999,Quebec,Québec,ED24-019,Compton--Stanstead,Compton—Stanstead,Compton--Stanstead,Compton—Stanstead
1999,Quebec,Québec,ED24-020,Drummond,Drummond,Drummond,Drummond
1999,Quebec,Québec,ED24-021,Frontenac--Mégantic,Frontenac—Mégantic,Frontenac--Mégantic,Frontenac—Mégantic
1999,Quebec,Québec,ED24-022,Bonaventure--Gaspé--Îles-de-la-Madeleine--Pabok,Bonaventure—Gaspé—Îles-de-la-Madeleine—Pabok,Bonaventure--Gaspé--Îles-de-la-Madeleine--Pabok,Bonaventure—Gaspé—Îles-de-la-Madeleine—Pabok
1999,Quebec,Québec,ED24-023,Gatineau,Gatineau,Gatineau,Gatineau
1999,Quebec,Québec,ED24-024,Hochelaga--Maisonneuve,Hochelaga—Maisonneuve,Hochelaga--Maisonneuve,Hochelaga—Maisonneuve
1999,Quebec,Québec,ED24-025,Hull--Aylmer,Hull—Aylmer,Hull--Aylmer,Hull—Aylmer
1999,Quebec,Québec,ED24-026,Joliette,Joliette,Joliette,Joliette
1999,Quebec,Québec,ED24-027,Jonquière,Jonquière,Jonquière,Jonquière
1999,Quebec,Québec,ED24-028,Kamouraska--Rivière-du-Loup--Témiscouata--Les Basques,Kamouraska—Rivière-du-Loup—Témiscouata—Les Basques,Kamouraska--Rivière-du-Loup--Témiscouata--Les Basques,Kamouraska—Rivière-du-Loup—Témiscouata—Les Basques
1999,Quebec,Québec,ED24-029,Notre-Dame-de-Grâce--Lachine,Notre-Dame-de-Grâce—Lachine,Notre-Dame-de-Grâce--Lachine,Notre-Dame-de-Grâce—Lachine
1999,Quebec,Québec,ED24-030,Lac-Saint-Jean--Saguenay,Lac-Saint-Jean—Saguenay,Lac-Saint-Jean--Saguenay,Lac-Saint-Jean—Saguenay
1999,Quebec,Québec,ED24-031,Lac-Saint-Louis,Lac-Saint-Louis,Lac-Saint-Louis,Lac-Saint-Louis
1999,Quebec,Québec,ED24-032,LaSalle--Émard,LaSalle—Émard,LaSalle--Émard,LaSalle—Émard
1999,Quebec,Québec,ED24-033,Laurentides,Laurentides,Laurentides,Laurentides
1999,Quebec,Québec,ED24-034,Laurier--Sainte-Marie,Laurier—Sainte-Marie,Laurier--Sainte-Marie,Laurier—Sainte-Marie
1999,Quebec,Québec,ED24-035,Laval Centre,Laval Centre,Laval-Centre,Laval-Centre
1999,Quebec,Québec,ED24-036,Laval East,Laval East,Laval-Est,Laval-Est
1999,Quebec,Québec,ED24-037,Laval West,Laval West,Laval-Ouest,Laval-Ouest
1999,Quebec,Québec,ED24-038,Lévis-et-Chutes-de-la-Chaudière,Lévis-et-Chutes-de-la-Chaudière,Lévis-et-Chutes-de-la-Chaudière,Lévis-et-Chutes-de-la-Chaudière
1999,Quebec,Québec,ED24-039,Longueuil,Longueuil,Longueuil,Longueuil
1999,Quebec,Québec,ED24-040,Lotbinière-L'Érable,Lotbinière-L'Érable,Lotbinière-L'Érable,Lotbinière-L'Érable
1999,Quebec,Québec,ED24-041,Louis-Hébert,Louis-Hébert,Louis-Hébert,Louis-Hébert
1999,Quebec,Québec,ED24-042,Manicouagan,Manicouagan,Manicouagan,Manicouagan
1999,Quebec,Québec,ED24-043,Matapédia--Matane,Matapédia—Matane,Matapédia--Matane,Matapédia—Matane
1999,Quebec,Québec,ED24-044,Mercier,Mercier,Mercier,Mercier
1999,Quebec,Québec,ED24-045,Mount Royal,Mount Royal,Mont-Royal,Mont-Royal
1999,Quebec,Québec,ED24-046,Outremont,Outremont,Outremont,Outremont
1999,Quebec,Québec,ED24-047,Papineau--Saint-Denis,Papineau—Saint-Denis,Papineau--Saint-Denis,Papineau—Saint-Denis
1999,Quebec,Québec,ED24-048,Pierrefonds--Dollard,Pierrefonds—Dollard,Pierrefonds--Dollard,Pierrefonds—Dollard
1999,Quebec,Québec,ED24-049,Pontiac--Gatineau--Labelle,Pontiac—Gatineau—Labelle,Pontiac--Gatineau--Labelle,Pontiac—Gatineau—Labelle
1999,Quebec,Québec,ED24-050,Portneuf,Portneuf,Portneuf,Portneuf
1999,Quebec,Québec,ED24-051,Québec,Québec,Québec,Québec
1999,Quebec,Québec,ED24-052,Québec East,Québec East,Québec-Est,Québec-Est
1999,Quebec,Québec,ED24-053,Repentigny,Repentigny,Repentigny,Repentigny
1999,Quebec,Québec,ED24-054,Bas-Richelieu--Nicolet--Bécancour,Bas-Richelieu—Nicolet—Bécancour,Bas-Richelieu--Nicolet--Bécancour,Bas-Richelieu—Nicolet—Bécancour
1999,Quebec,Québec,ED24-055,Richmond--Arthabaska,Richmond—Arthabaska,Richmond--Arthabaska,Richmond—Arthabaska
1999,Quebec,Québec,ED24-056,Rimouski-Neigette-et-la Mitis,Rimouski-Neigette-et-la Mitis,Rimouski-Neigette-et-la Mitis,Rimouski-Neigette-et-la Mitis
1999,Quebec,Québec,ED24-057,Roberval,Roberval,Roberval,Roberval
1999,Quebec,Québec,ED24-058,Rosemont--Petite-Patrie,Rosemont—Petite-Patrie,Rosemont--Petite-Patrie,Rosemont—Petite-Patrie
1999,Quebec,Québec,ED24-059,Témiscamingue,Témiscamingue,Témiscamingue,Témiscamingue
1999,Quebec,Québec,ED24-060,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles
1999,Quebec,Québec,ED24-061,Saint-Bruno--Saint-Hubert,Saint-Bruno—Saint-Hubert,Saint-Bruno--Saint-Hubert,Saint-Bruno—Saint-Hubert
1999,Quebec,Québec,ED24-062,Saint-Hyacinthe--Bagot,Saint-Hyacinthe—Bagot,Saint-Hyacinthe--Bagot,Saint-Hyacinthe—Bagot
1999,Quebec,Québec,ED24-063,Saint-Jean,Saint-Jean,Saint-Jean,Saint-Jean
1999,Quebec,Québec,ED24-064,Saint-Lambert,Saint-Lambert,Saint-Lambert,Saint-Lambert
1999,Quebec,Québec,ED24-065,Saint-Laurent--Cartierville,Saint-Laurent—Cartierville,Saint-Laurent--Cartierville,Saint-Laurent—Cartierville
1999,Quebec,Québec,ED24-066,Saint-Léonard--Saint-Michel,Saint-Léonard—Saint-Michel,Saint-Léonard--Saint-Michel,Saint-Léonard—Saint-Michel
1999,Quebec,Québec,ED24-067,Saint-Maurice,Saint-Maurice,Saint-Maurice,Saint-Maurice
1999,Quebec,Québec,ED24-068,Shefford,Shefford,Shefford,Shefford
1999,Quebec,Québec,ED24-069,Sherbrooke,Sherbrooke,Sherbrooke,Sherbrooke
1999,Quebec,Québec,ED24-070,Terrebonne--Blainville,Terrebonne—Blainville,Terrebonne--Blainville,Terrebonne—Blainville
1999,Quebec,Québec,ED24-071,Trois-Rivières,Trois-Rivières,Trois-Rivières,Trois-Rivières
1999,Quebec,Québec,ED24-072,Vaudreuil--Soulanges,Vaudreuil—Soulanges,Vaudreuil--Soulanges,Vaudreuil—Soulanges
1999,Quebec,Québec,ED24-073,Verchères--Les-Patriotes,Verchères—Les-Patriotes,Verchères--Les-Patriotes,Verchères—Les-Patriotes
1999,Quebec,Québec,ED24-074,Verdun--Saint-Henri--Saint-Paul--Pointe Saint-Charles,Verdun—Saint-Henri—Saint-Paul—Pointe Saint-Charles,Verdun--Saint-Henri--Saint-Paul--Pointe Saint-Charles,Verdun—Saint-Henri—Saint-Paul—Pointe Saint-Charles
1999,Quebec,Québec,ED24-075,Westmount--Ville-Marie,Westmount—Ville-Marie,Westmount--Ville-Marie,Westmount—Ville-Marie
1999,Saskatchewan,Saskatchewan,ED47-001,Battlefords--Lloydminster,Battlefords—Lloydminster,Battlefords--Lloydminster,Battlefords—Lloydminster
1999,Saskatchewan,Saskatchewan,ED47-002,Blackstrap,Blackstrap,Blackstrap,Blackstrap
1999,Saskatchewan,Saskatchewan,ED47-003,Churchill River,Churchill River,Rivière Churchill,Rivière Churchill
1999,Saskatchewan,Saskatchewan,ED47-004,Cypress Hills--Grasslands,Cypress Hills—Grasslands,Cypress Hills--Grasslands,Cypress Hills—Grasslands
1999,Saskatchewan,Saskatchewan,ED47-005,Palliser,Palliser,Palliser,Palliser
1999,Saskatchewan,Saskatchewan,ED47-006,Prince Albert,Prince Albert,Prince Albert,Prince Albert
1999,Saskatchewan,Saskatchewan,ED47-007,Regina--Qu'Appelle,Regina—Qu'Appelle,Regina--Qu'Appelle,Regina—Qu'Appelle
1999,Saskatchewan,Saskatchewan,ED47-008,Regina--Lumsden--Lake Centre,Regina—Lumsden—Lake Centre,Regina--Lumsden--Lake Centre,Regina—Lumsden—Lake Centre
1999,Saskatchewan,Saskatchewan,ED47-009,Saskatoon--Humboldt,Saskatoon—Humboldt,Saskatoon--Humboldt,Saskatoon—Humboldt
1999,Saskatchewan,Saskatchewan,ED47-010,Saskatoon--Rosetown--Biggar,Saskatoon—Rosetown—Biggar,Saskatoon--Rosetown--Biggar,Saskatoon—Rosetown—Biggar
1999,Saskatchewan,Saskatchewan,ED47-011,Souris--Moose Mountain,Souris—Moose Mountain,Souris--Moose Mountain,Souris—Moose Mountain
1999,Saskatchewan,Saskatchewan,ED47-012,Saskatoon--Wanuskewin,Saskatoon—Wanuskewin,Saskatoon--Wanuskewin,Saskatoon—Wanuskewin
1999,Saskatchewan,Saskatchewan,ED47-013,Wascana,Wascana,Wascana,Wascana
1999,Saskatchewan,Saskatchewan,ED47-014,Yorkton--Melville,Yorkton—Melville,Yorkton--Melville,Yorkton—Melville
1999,Yukon Territory,Territoire du Yukon,ED60-001,Yukon,Yukon,Yukon,Yukon
2003,Alberta,Alberta,48001,Athabasca,Athabasca,Athabasca,Athabasca
2003,Alberta,Alberta,48002,Calgary East,Calgary East,Calgary-Est,Calgary-Est
2003,Alberta,Alberta,48003,Calgary North Centre,Calgary North Centre,Calgary-Centre-Nord,Calgary-Centre-Nord
2003,Alberta,Alberta,48004,Calgary Northeast,Calgary Northeast,Calgary-Nord-Est,Calgary-Nord-Est
2003,Alberta,Alberta,48005,Calgary--Nose Hill,Calgary—Nose Hill,Calgary--Nose Hill,Calgary—Nose Hill
2003,Alberta,Alberta,48006,Calgary South Centre,Calgary South Centre,Calgary-Centre-Sud,Calgary-Centre-Sud
2003,Alberta,Alberta,48007,Calgary Southeast,Calgary Southeast,Calgary-Sud-Est,Calgary-Sud-Est
2003,Alberta,Alberta,48008,Calgary Southwest,Calgary Southwest,Calgary-Sud-Ouest,Calgary-Sud-Ouest
2003,Alberta,Alberta,48009,Calgary West,Calgary West,Calgary-Ouest,Calgary-Ouest
2003,Alberta,Alberta,48010,Crowfoot,Crowfoot,Crowfoot,Crowfoot
2003,Alberta,Alberta,48011,Edmonton--Beaumont,Edmonton—Beaumont,Edmonton--Beaumont,Edmonton—Beaumont
2003,Alberta,Alberta,48012,Edmonton Centre,Edmonton Centre,Edmonton-Centre,Edmonton-Centre
2003,Alberta,Alberta,48013,Edmonton East,Edmonton East,Edmonton-Est,Edmonton-Est
2003,Alberta,Alberta,48014,Edmonton--Leduc,Edmonton—Leduc,Edmonton--Leduc,Edmonton—Leduc
2003,Alberta,Alberta,48015,Edmonton--St. Albert,Edmonton—St. Albert,Edmonton--St. Albert,Edmonton—St. Albert
2003,Alberta,Alberta,48016,Edmonton--Sherwood Park,Edmonton—Sherwood Park,Edmonton--Sherwood Park,Edmonton—Sherwood Park
2003,Alberta,Alberta,48017,Edmonton--Spruce Grove,Edmonton—Spruce Grove,Edmonton--Spruce Grove,Edmonton—Spruce Grove
2003,Alberta,Alberta,48018,Edmonton--Strathcona,Edmonton—Strathcona,Edmonton--Strathcona,Edmonton—Strathcona
2003,Alberta,Alberta,48019,Lethbridge,Lethbridge,Lethbridge,Lethbridge
2003,Alberta,Alberta,48020,Macleod,Macleod,Macleod,Macleod
2003,Alberta,Alberta,48021,Medicine Hat,Medicine Hat,Medicine Hat,Medicine Hat
2003,Alberta,Alberta,48022,Peace River,Peace River,Peace River,Peace River
2003,Alberta,Alberta,48023,Red Deer,Red Deer,Red Deer,Red Deer
2003,Alberta,Alberta,48024,Vegreville--Wainwright,Vegreville—Wainwright,Vegreville--Wainwright,Vegreville—Wainwright
2003,Alberta,Alberta,48025,Westlock--St. Paul,Westlock—St. Paul,Westlock--St. Paul,Westlock—St. Paul
2003,Alberta,Alberta,48026,Wetaskiwin,Wetaskiwin,Wetaskiwin,Wetaskiwin
2003,Alberta,Alberta,48027,Wild Rose,Wild Rose,Wild Rose,Wild Rose
2003,Alberta,Alberta,48028,Yellowhead,Yellowhead,Yellowhead,Yellowhead
2003,British Columbia,Colombie-Britannique,59001,Abbotsford,Abbotsford,Abbotsford,Abbotsford
2003,British Columbia,Colombie-Britannique,59002,Burnaby--Douglas,Burnaby—Douglas,Burnaby--Douglas,Burnaby—Douglas
2003,British Columbia,Colombie-Britannique,59003,Burnaby--New Westminster,Burnaby—New Westminster,Burnaby--New Westminster,Burnaby—New Westminster
2003,British Columbia,Colombie-Britannique,59004,Cariboo--Prince George,Cariboo—Prince George,Cariboo--Prince George,Cariboo—Prince George
2003,British Columbia,Colombie-Britannique,59005,Chilliwack--Fraser Canyon,Chilliwack—Fraser Canyon,Chilliwack--Fraser Canyon,Chilliwack—Fraser Canyon
2003,British Columbia,Colombie-Britannique,59006,Delta--Richmond East,Delta—Richmond East,Delta--Richmond-Est,Delta—Richmond-Est
2003,British Columbia,Colombie-Britannique,59007,Dewdney--Alouette,Dewdney—Alouette,Dewdney--Alouette,Dewdney—Alouette
2003,British Columbia,Colombie-Britannique,59008,Esquimalt--Juan de Fuca,Esquimalt—Juan de Fuca,Esquimalt--Juan de Fuca,Esquimalt—Juan de Fuca
2003,British Columbia,Colombie-Britannique,59009,Fleetwood--Port Kells,Fleetwood—Port Kells,Fleetwood--Port Kells,Fleetwood—Port Kells
2003,British Columbia,Colombie-Britannique,59010,Kamloops--Thompson,Kamloops—Thompson,Kamloops--Thompson,Kamloops—Thompson
2003,British Columbia,Colombie-Britannique,59011,Kelowna,Kelowna,Kelowna,Kelowna
2003,British Columbia,Colombie-Britannique,59012,Kootenay--Columbia,Kootenay—Columbia,Kootenay--Columbia,Kootenay—Columbia
2003,British Columbia,Colombie-Britannique,59013,Langley,Langley,Langley,Langley
2003,British Columbia,Colombie-Britannique,59014,Nanaimo--Alberni,Nanaimo—Alberni,Nanaimo--Alberni,Nanaimo—Alberni
2003,British Columbia,Colombie-Britannique,59015,Nanaimo--Cowichan,Nanaimo—Cowichan,Nanaimo--Cowichan,Nanaimo—Cowichan
2003,British Columbia,Colombie-Britannique,59016,Newton--North Delta,Newton—North Delta,Newton--Delta-Nord,Newton—Delta-Nord
2003,British Columbia,Colombie-Britannique,59017,New Westminster--Coquitlam,New Westminster—Coquitlam,New Westminster--Coquitlam,New Westminster—Coquitlam
2003,British Columbia,Colombie-Britannique,59018,North Okanagan--Shuswap,North Okanagan—Shuswap,Okanagan-Nord--Shuswap,Okanagan-Nord—Shuswap
2003,British Columbia,Colombie-Britannique,59019,North Vancouver,North Vancouver,North Vancouver,North Vancouver
2003,British Columbia,Colombie-Britannique,59020,Okanagan--Coquihalla,Okanagan—Coquihalla,Okanagan--Coquihalla,Okanagan—Coquihalla
2003,British Columbia,Colombie-Britannique,59021,Port Moody--Westwood--Port Coquitlam,Port Moody—Westwood—Port Coquitlam,Port Moody--Westwood--Port Coquitlam,Port Moody—Westwood—Port Coquitlam
2003,British Columbia,Colombie-Britannique,59022,Prince George--Peace River,Prince George—Peace River,Prince George--Peace River,Prince George—Peace River
2003,British Columbia,Colombie-Britannique,59023,Richmond,Richmond,Richmond,Richmond
2003,British Columbia,Colombie-Britannique,59024,Saanich--Gulf Islands,Saanich—Gulf Islands,Saanich--Gulf Islands,Saanich—Gulf Islands
2003,British Columbia,Colombie-Britannique,59025,Skeena--Bulkley Valley,Skeena—Bulkley Valley,Skeena--Bulkley Valley,Skeena—Bulkley Valley
2003,British Columbia,Colombie-Britannique,59026,Southern Interior,Southern Interior,Southern Interior,Southern Interior
2003,British Columbia,Colombie-Britannique,59027,South Surrey--White Rock--Cloverdale,South Surrey—White Rock—Cloverdale,Surrey-Sud--White Rock--Cloverdale,Surrey-Sud—White Rock—Cloverdale
2003,British Columbia,Colombie-Britannique,59028,Surrey North,Surrey North,Surrey-Nord,Surrey-Nord
2003,British Columbia,Colombie-Britannique,59029,Vancouver Centre,Vancouver Centre,Vancouver-Centre,Vancouver-Centre
2003,British Columbia,Colombie-Britannique,59030,Vancouver East,Vancouver East,Vancouver-Est,Vancouver-Est
2003,British Columbia,Colombie-Britannique,59031,Vancouver Island North,Vancouver Island North,Île de Vancouver-Nord,Île de Vancouver-Nord
2003,British Columbia,Colombie-Britannique,59032,Vancouver Kingsway,Vancouver Kingsway,Vancouver Kingsway,Vancouver Kingsway
2003,British Columbia,Colombie-Britannique,59033,Vancouver Quadra,Vancouver Quadra,Vancouver Quadra,Vancouver Quadra
2003,British Columbia,Colombie-Britannique,59034,Vancouver South,Vancouver South,Vancouver-Sud,Vancouver-Sud
2003,British Columbia,Colombie-Britannique,59035,Victoria,Victoria,Victoria,Victoria
2003,British Columbia,Colombie-Britannique,59036,West Vancouver--Sunshine Coast,West Vancouver—Sunshine Coast,West Vancouver--Sunshine Coast,West Vancouver—Sunshine Coast
2003,Manitoba,Manitoba,46001,Brandon--Souris,Brandon—Souris,Brandon--Souris,Brandon—Souris
2003,Manitoba,Manitoba,46002,Charleswood--St. James,Charleswood—St. James,Charleswood--St. James,Charleswood—St. James
2003,Manitoba,Manitoba,46003,Churchill,Churchill,Churchill,Churchill
2003,Manitoba,Manitoba,46004,Dauphin--Swan River,Dauphin—Swan River,Dauphin--Swan River,Dauphin—Swan River
2003,Manitoba,Manitoba,46005,Elmwood--Transcona,Elmwood—Transcona,Elmwood--Transcona,Elmwood—Transcona
2003,Manitoba,Manitoba,46006,Kildonan--St. Paul,Kildonan—St. Paul,Kildonan--St. Paul,Kildonan—St. Paul
2003,Manitoba,Manitoba,46007,Portage--Lisgar,Portage—Lisgar,Portage--Lisgar,Portage—Lisgar
2003,Manitoba,Manitoba,46008,Provencher,Provencher,Provencher,Provencher
2003,Manitoba,Manitoba,46009,Saint Boniface,Saint Boniface,Saint-Boniface,Saint-Boniface
2003,Manitoba,Manitoba,46010,Selkirk--Interlake,Selkirk—Interlake,Selkirk--Interlake,Selkirk—Interlake
2003,Manitoba,Manitoba,46011,Winnipeg Centre,Winnipeg Centre,Winnipeg-Centre,Winnipeg-Centre
2003,Manitoba,Manitoba,46012,Winnipeg North,Winnipeg North,Winnipeg-Nord,Winnipeg-Nord
2003,Manitoba,Manitoba,46013,Winnipeg South,Winnipeg South,Winnipeg-Sud,Winnipeg-Sud
2003,Manitoba,Manitoba,46014,Winnipeg South Centre,Winnipeg South Centre,Winnipeg-Centre-Sud,Winnipeg-Centre-Sud
2003,New Brunswick,Nouveau-Brunswick,13001,Acadie--Bathurst,Acadie—Bathurst,Acadie--Bathurst,Acadie—Bathurst
2003,New Brunswick,Nouveau-Brunswick,13002,Beauséjour,Beauséjour,Beauséjour,Beauséjour
2003,New Brunswick,Nouveau-Brunswick,13003,Fredericton,Fredericton,Fredericton,Fredericton
2003,New Brunswick,Nouveau-Brunswick,13004,Fundy,Fundy,Fundy,Fundy
2003,New Brunswick,Nouveau-Brunswick,13005,Madawaska--Restigouche,Madawaska—Restigouche,Madawaska--Restigouche,Madawaska—Restigouche
2003,New Brunswick,Nouveau-Brunswick,13006,Miramichi,Miramichi,Miramichi,Miramichi
2003,New Brunswick,Nouveau-Brunswick,13007,Moncton--Riverview--Dieppe,Moncton—Riverview—Dieppe,Moncton--Riverview--Dieppe,Moncton—Riverview—Dieppe
2003,New Brunswick,Nouveau-Brunswick,13008,St. Croix--Belleisle,St. Croix—Belleisle,St. Croix--Belleisle,St. Croix—Belleisle
2003,New Brunswick,Nouveau-Brunswick,13009,Saint John,Saint John,Saint John,Saint John
2003,New Brunswick,Nouveau-Brunswick,13010,Tobique--Mactaquac,Tobique—Mactaquac,Tobique--Mactaquac,Tobique—Mactaquac
2003,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10001,Avalon,Avalon,Avalon,Avalon
2003,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10002,Bonavista--Exploits,Bonavista—Exploits,Bonavista--Exploits,Bonavista—Exploits
2003,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10003,Humber--St. Barbe--Baie Verte,Humber—St. Barbe—Baie Verte,Humber--St. Barbe--Baie Verte,Humber—St. Barbe—Baie Verte
2003,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10004,Labrador,Labrador,Labrador,Labrador
2003,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10005,Random--Burin--St. George's,Random—Burin—St. George's,Random--Burin--St. George's,Random—Burin—St. George's
2003,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10006,St. John's North,St. John's North,St. John's North,St. John's North
2003,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10007,St. John's South,St. John's South,St. John's South,St. John's South
2003,Northwest Territories,Territoires du Nord-Ouest,61001,Western Arctic,Western Arctic,Western Arctic,Western Arctic
2003,Nova Scotia,Nouvelle-Écosse,12001,Cape Breton--Canso,Cape Breton—Canso,Cape Breton--Canso,Cape Breton—Canso
2003,Nova Scotia,Nouvelle-Écosse,12002,Central Nova,Central Nova,Nova-Centre,Nova-Centre
2003,Nova Scotia,Nouvelle-Écosse,12003,Dartmouth--Cole Harbour,Dartmouth—Cole Harbour,Dartmouth--Cole Harbour,Dartmouth—Cole Harbour
2003,Nova Scotia,Nouvelle-Écosse,12004,Halifax,Halifax,Halifax,Halifax
2003,Nova Scotia,Nouvelle-Écosse,12005,Halifax West,Halifax West,Halifax-Ouest,Halifax-Ouest
2003,Nova Scotia,Nouvelle-Écosse,12006,Kings--Hants,Kings—Hants,Kings--Hants,Kings—Hants
2003,Nova Scotia,Nouvelle-Écosse,12007,North Nova,North Nova,Nova-Nord,Nova-Nord
2003,Nova Scotia,Nouvelle-Écosse,12008,Sackville--Eastern Shore,Sackville—Eastern Shore,Sackville--Eastern Shore,Sackville—Eastern Shore
2003,Nova Scotia,Nouvelle-Écosse,12009,South Shore--St. Margaret's,South Shore—St. Margaret's,South Shore--St. Margaret's,South Shore—St. Margaret's
2003,Nova Scotia,Nouvelle-Écosse,12010,Sydney--Victoria,Sydney—Victoria,Sydney--Victoria,Sydney—Victoria
2003,Nova Scotia,Nouvelle-Écosse,12011,West Nova,West Nova,Nova-Ouest,Nova-Ouest
2003,Nunavut,Nunavut,62001,Nunavut,Nunavut,Nunavut,Nunavut
2003,Ontario,Ontario,35001,Ajax--Pickering,Ajax—Pickering,Ajax--Pickering,Ajax—Pickering
2003,Ontario,Ontario,35002,Algoma--Manitoulin--Kapuskasing,Algoma—Manitoulin—Kapuskasing,Algoma--Manitoulin--Kapuskasing,Algoma—Manitoulin—Kapuskasing
2003,Ontario,Ontario,35003,Ancaster--Dundas--Flamborough--Westdale,Ancaster—Dundas—Flamborough—Westdale,Ancaster--Dundas--Flamborough--Westdale,Ancaster—Dundas—Flamborough—Westdale
2003,Ontario,Ontario,35004,Barrie,Barrie,Barrie,Barrie
2003,Ontario,Ontario,35005,Beaches--East York,Beaches—East York,Beaches--East York,Beaches—East York
2003,Ontario,Ontario,35006,Bramalea--Gore--Malton,Bramalea—Gore—Malton,Bramalea--Gore--Malton,Bramalea—Gore—Malton
2003,Ontario,Ontario,35007,Brampton--Springdale,Brampton—Springdale,Brampton--Springdale,Brampton—Springdale
2003,Ontario,Ontario,35008,Brampton West,Brampton West,Brampton-Ouest,Brampton-Ouest
2003,Ontario,Ontario,35009,Brant,Brant,Brant,Brant
2003,Ontario,Ontario,35010,Burlington,Burlington,Burlington,Burlington
2003,Ontario,Ontario,35011,Cambridge,Cambridge,Cambridge,Cambridge
2003,Ontario,Ontario,35012,Carleton--Lanark,Carleton—Lanark,Carleton--Lanark,Carleton—Lanark
2003,Ontario,Ontario,35013,Chatham-Kent--Essex,Chatham-Kent—Essex,Chatham-Kent--Essex,Chatham-Kent—Essex
2003,Ontario,Ontario,35014,Clarington--Scugog--Uxbridge,Clarington—Scugog—Uxbridge,Clarington--Scugog--Uxbridge,Clarington—Scugog—Uxbridge
2003,Ontario,Ontario,35015,Davenport,Davenport,Davenport,Davenport
2003,Ontario,Ontario,35016,Don Valley East,Don Valley East,Don Valley-Est,Don Valley-Est
2003,Ontario,Ontario,35017,Don Valley West,Don Valley West,Don Valley-Ouest,Don Valley-Ouest
2003,Ontario,Ontario,35018,Dufferin--Caledon,Dufferin—Caledon,Dufferin--Caledon,Dufferin—Caledon
2003,Ontario,Ontario,35019,Eglinton--Lawrence,Eglinton—Lawrence,Eglinton--Lawrence,Eglinton—Lawrence
2003,Ontario,Ontario,35020,Elgin--Middlesex--London,Elgin—Middlesex—London,Elgin--Middlesex--London,Elgin—Middlesex—London
2003,Ontario,Ontario,35021,Essex,Essex,Essex,Essex
2003,Ontario,Ontario,35022,Etobicoke Centre,Etobicoke Centre,Etobicoke-Centre,Etobicoke-Centre
2003,Ontario,Ontario,35023,Etobicoke--Lakeshore,Etobicoke—Lakeshore,Etobicoke--Lakeshore,Etobicoke—Lakeshore
2003,Ontario,Ontario,35024,Etobicoke North,Etobicoke North,Etobicoke-Nord,Etobicoke-Nord
2003,Ontario,Ontario,35025,Glengarry--Prescott--Russell,Glengarry—Prescott—Russell,Glengarry--Prescott--Russell,Glengarry—Prescott—Russell
2003,Ontario,Ontario,35026,Grey--Bruce--Owen Sound,Grey—Bruce—Owen Sound,Grey--Bruce--Owen Sound,Grey—Bruce—Owen Sound
2003,Ontario,Ontario,35027,Guelph,Guelph,Guelph,Guelph
2003,Ontario,Ontario,35028,Haldimand--Norfolk,Haldimand—Norfolk,Haldimand--Norfolk,Haldimand—Norfolk
2003,Ontario,Ontario,35029,Haliburton--Kawartha Lakes--Brock,Haliburton—Kawartha Lakes—Brock,Haliburton--Kawartha Lakes--Brock,Haliburton—Kawartha Lakes—Brock
2003,Ontario,Ontario,35030,Halton,Halton,Halton,Halton
2003,Ontario,Ontario,35031,Hamilton Centre,Hamilton Centre,Hamilton-Centre,Hamilton-Centre
2003,Ontario,Ontario,35032,Hamilton East--Stoney Creek,Hamilton East—Stoney Creek,Hamilton-Est--Stoney Creek,Hamilton-Est—Stoney Creek
2003,Ontario,Ontario,35033,Hamilton Mountain,Hamilton Mountain,Hamilton Mountain,Hamilton Mountain
2003,Ontario,Ontario,35034,Huron--Bruce,Huron—Bruce,Huron--Bruce,Huron—Bruce
2003,Ontario,Ontario,35035,Kenora,Kenora,Kenora,Kenora
2003,Ontario,Ontario,35036,Kingston and the Islands,Kingston and the Islands,Kingston et les Îles,Kingston et les Îles
2003,Ontario,Ontario,35037,Kitchener Centre,Kitchener Centre,Kitchener-Centre,Kitchener-Centre
